time_seconds,raw,weight
22.579,-870.0,-4.5
22.647,-385.0,-4.1
22.726,-520.0,-4.8
22.787,-493.0,-4.6
22.839,-425.0,-4.5
22.894,-478.0,-4.5
22.952,-441.0,-4.8
23.010,-484.0,-4.8
23.063,-439.0,-4.7
23.114,-486.0,-4.8
23.846,-520.0,-4.9
25.794,-562.0,-4.8
27.742,-512.0,-5.0
29.690,-596.0,-5.1
31.638,-601.0,-5.3
33.587,-569.0,-4.9
35.535,-610.0,-4.8
37.483,-613.0,-4.9
39.431,-545.0,-5.0
41.379,-782.0,-5.3
43.327,-656.0,-5.3
45.275,-592.0,-5.3
47.223,-741.0,-5.1
49.171,-756.0,-5.2
51.119,-775.0,2.7
53.067,5746.0,22.7
55.014,5593.0,23.0
56.963,5531.0,23.2
58.911,5521.0,23.4
60.859,5599.0,23.2
62.808,5624.0,23.3
64.755,5640.0,23.3
66.704,5619.0,23.5
68.652,5575.0,23.2
70.600,5594.0,23.2
72.549,5622.0,23.5
74.497,5541.0,23.5
76.445,5583.0,23.2
78.393,5601.0,23.0
80.341,5524.0,23.1
82.289,5548.0,23.0
84.237,5537.0,23.1
86.186,5529.0,23.2
88.133,5605.0,23.1
90.081,5604.0,23.0
92.029,5475.0,23.1
93.978,5524.0,23.3
95.926,5604.0,23.0
97.874,5462.0,22.7
99.822,5482.0,22.8
101.770,5452.0,22.8
103.718,5465.0,22.9
105.666,5479.0,22.9
107.614,5443.0,22.8
109.562,5448.0,23.0
111.510,5537.0,22.8
113.458,5434.0,22.7
115.405,5387.0,22.8
117.352,5551.0,23.0
119.300,5409.0,23.0
121.247,5417.0,22.8
123.195,5399.0,22.8
125.143,5407.0,22.6
127.091,5494.0,23.1
129.038,5470.0,22.8
130.986,5428.0,22.8
132.935,5579.0,22.9
134.882,5388.0,22.8
136.831,5455.0,23.0
138.778,5622.0,22.7
140.727,5392.0,22.6
142.674,5700.0,23.6
144.623,5759.0,23.6
146.571,5595.0,23.4
148.519,5627.0,23.3
150.467,5553.0,23.1
152.415,5583.0,23.3
154.363,5601.0,23.4
156.311,5610.0,23.2
158.260,5668.0,23.3
160.208,5647.0,23.6
162.156,5694.0,23.5
164.104,5666.0,23.4
166.053,5619.0,23.2
168.001,5615.0,23.3
169.950,5576.0,23.0
171.897,5469.0,22.8
173.845,5451.0,22.8
175.792,5400.0,22.8
177.741,5527.0,22.8
179.689,5512.0,22.9
181.637,5397.0,22.9
183.586,5533.0,23.1
185.534,5424.0,22.7
187.482,5413.0,22.8
189.430,5472.0,22.5
191.378,5385.0,22.6
193.325,5485.0,23.0
195.274,5415.0,22.8
197.222,5450.0,22.6
199.169,5537.0,22.8
201.117,5397.0,22.6
203.064,5382.0,22.4
205.012,5431.0,22.6
206.959,5373.0,22.6
208.907,5426.0,22.6
210.855,5484.0,22.6
212.803,5383.0,22.7
214.750,5400.0,22.7
216.699,5339.0,22.4
218.647,5433.0,22.6
220.595,5409.0,22.8
222.543,5306.0,22.7
224.490,5435.0,22.7
226.439,5382.0,22.8
228.387,5363.0,22.4
230.334,5356.0,22.5
232.282,5489.0,22.7
234.230,5355.0,22.4
236.177,5395.0,22.5
238.125,5513.0,22.6
240.074,5384.0,22.5
242.021,5408.0,22.5
243.969,5507.0,22.6
245.917,5360.0,22.6
247.865,5409.0,23.0
249.813,5406.0,22.3
251.761,5355.0,22.4
253.709,5419.0,22.7
255.657,5320.0,22.5
257.605,5413.0,22.4
259.553,5387.0,22.5
261.501,5357.0,22.2
263.448,5356.0,22.5
265.397,5376.0,22.2
267.345,5406.0,22.3
269.292,5385.0,22.3
271.240,5534.0,22.3
273.188,5343.0,22.6
275.135,5294.0,22.4
277.084,5399.0,22.3
279.032,5384.0,22.5
280.980,5299.0,22.2
282.928,5347.0,22.3
284.876,5379.0,22.4
286.823,5351.0,22.6
288.771,5274.0,22.2
290.719,5315.0,22.2
292.667,5366.0,22.3
294.615,5351.0,22.2
296.563,5311.0,22.2
298.511,5389.0,22.2
300.459,5263.0,22.3
302.406,5298.0,22.3
304.355,5427.0,22.3
306.302,5314.0,22.2
308.250,5320.0,22.3
310.198,5350.0,22.2
312.146,5379.0,22.1
314.094,5385.0,22.6
316.042,5391.0,22.2
317.990,5356.0,22.3
319.938,5386.0,22.4
321.886,5333.0,22.1
323.834,5382.0,22.3
325.782,5345.0,22.3
327.729,5332.0,22.1
329.678,5338.0,22.3
331.626,5450.0,22.1
333.573,5326.0,22.3
335.521,5324.0,22.2
337.469,5381.0,22.2
339.418,5279.0,22.3
341.365,5345.0,22.4
343.313,5317.0,22.1
345.261,5327.0,22.3
347.210,5345.0,22.4
349.158,5389.0,22.3
