time_seconds,raw,weight
16.351,-483.0,-2.1
16.436,68.0,-2.1
16.487,90.0,-1.9
16.560,82.0,-2.1
16.625,85.0,-2.0
16.687,61.0,-2.2
16.752,34.0,-2.2
17.988,66.0,-2.3
19.938,25.0,-2.2
21.888,14.0,-2.3
23.838,23.0,-2.3
25.788,41.0,-2.2
27.738,73.0,-2.4
29.688,28.0,-2.3
31.638,-65.0,-2.3
33.588,-24.0,-2.5
35.539,-23.0,-2.4
37.489,-44.0,-2.5
39.439,-13.0,-2.4
41.389,-26.0,-2.4
43.340,-20.0,-2.6
45.290,-131.0,-2.5
47.240,-145.0,-2.8
49.190,-228.0,-2.7
51.140,-168.0,-2.6
53.091,-133.0,-2.6
55.040,-127.0,-2.9
56.990,-13.0,-3.0
58.940,-112.0,-2.8
60.890,-164.0,-2.7
62.840,-36.0,-2.9
64.790,-145.0,-2.9
66.740,7443.0,28.7
68.690,5924.0,25.1
70.639,5989.0,25.2
72.590,6094.0,25.3
74.540,6088.0,25.3
76.490,6088.0,25.6
78.440,6082.0,25.3
80.390,5967.0,25.4
82.340,5980.0,25.3
84.290,5979.0,25.4
86.241,6059.0,25.3
88.191,6029.0,25.3
90.141,6164.0,25.5
92.091,6140.0,25.5
94.041,6071.0,25.4
95.991,6013.0,25.4
97.941,6004.0,25.5
99.892,6044.0,25.5
101.842,6050.0,25.3
103.792,6076.0,25.4
105.742,6109.0,25.5
107.692,6117.0,25.3
109.642,6059.0,25.3
111.592,5965.0,25.3
113.543,5920.0,25.2
115.493,5913.0,25.3
117.443,5985.0,25.2
119.393,6023.0,25.4
121.343,6050.0,25.4
123.293,6025.0,25.3
125.243,6058.0,25.3
127.193,5969.0,25.4
129.143,5991.0,25.4
131.093,5965.0,25.5
133.044,5976.0,25.5
134.994,6041.0,25.4
136.944,6116.0,25.6
138.894,6069.0,25.5
140.845,6080.0,25.7
142.795,6035.0,25.5
144.745,6065.0,25.5
146.695,5896.0,25.5
148.645,5961.0,25.4
150.595,5990.0,25.5
152.545,6071.0,25.5
154.495,6007.0,25.3
156.446,6019.0,25.2
158.395,5962.0,25.4
160.345,5861.0,25.2
162.295,5895.0,25.3
164.246,5883.0,25.0
166.196,5893.0,25.4
168.146,6000.0,24.8
170.096,5788.0,24.7
172.046,5820.0,25.3
173.996,5785.0,24.9
175.946,5755.0,24.9
177.896,5789.0,25.2
179.847,5671.0,25.1
181.796,5807.0,24.8
