time_seconds,raw,weight
6.048,-750.0,-3.6
6.216,-180.0,-3.6
8.165,-198.0,-3.6
10.113,-199.0,-3.5
12.062,-147.0,-3.6
14.010,-189.0,-3.7
15.959,-192.0,-3.9
17.907,-214.0,-3.8
19.855,-235.0,-3.8
21.804,-170.0,-3.8
23.752,-210.0,-3.9
25.701,-214.0,-3.7
27.650,-184.0,-3.9
29.598,-248.0,-3.7
31.547,-240.0,-3.9
33.496,-276.0,-3.7
35.445,-271.0,-3.7
37.393,-258.0,-3.9
39.342,-269.0,-3.9
41.290,-272.0,-3.8
43.239,-259.0,-3.7
45.187,-229.0,-3.8
47.136,-203.0,-3.9
49.085,-262.0,-3.8
51.034,-235.0,-3.7
52.982,-196.0,-3.8
54.931,-288.0,-3.9
56.879,-301.0,-3.6
58.828,-223.0,-3.9
60.777,-267.0,-3.7
62.725,-367.0,-3.0
64.674,6600.0,23.7
66.623,5907.0,24.2
68.571,5901.0,24.6
70.520,6060.0,24.6
72.469,5953.0,24.6
74.417,6085.0,24.8
76.366,6091.0,24.9
78.315,6122.0,24.9
80.263,6098.0,25.1
82.212,6113.0,25.0
84.161,6099.0,25.2
86.110,6145.0,25.3
88.058,6112.0,25.2
90.007,6135.0,25.1
91.956,6083.0,25.1
93.905,6072.0,24.9
95.853,6073.0,25.0
97.802,6067.0,24.9
99.751,6118.0,25.0
101.700,6122.0,24.9
103.648,6100.0,25.1
105.597,6105.0,24.8
107.545,6049.0,25.1
109.493,6051.0,24.6
111.442,6050.0,24.9
113.391,6059.0,24.9
115.339,6052.0,24.9
117.288,6042.0,24.7
119.237,6084.0,25.0
121.185,5991.0,24.8
123.134,5982.0,24.9
125.083,5999.0,24.3
127.032,5852.0,24.4
128.979,5833.0,24.3
130.929,5927.0,24.4
132.877,5852.0,24.2
134.825,5839.0,24.7
136.774,5844.0,24.1
138.722,5880.0,24.4
140.671,5785.0,24.5
142.619,5812.0,24.3
144.568,5862.0,24.2
146.516,5934.0,24.4
148.464,5949.0,24.3
150.413,5776.0,24.3
152.361,5931.0,24.2
154.309,5869.0,24.3
156.257,5860.0,24.2
158.206,6006.0,24.1
160.155,5791.0,24.3
162.103,5874.0,24.3
164.051,5814.0,24.0
166.000,5826.0,24.3
167.948,5857.0,24.6
169.897,5838.0,24.1
171.845,5919.0,24.2
173.794,5864.0,24.4
175.742,5842.0,24.2
177.691,5797.0,24.1
179.639,5893.0,24.1
181.588,5842.0,24.2
183.536,5886.0,24.1
185.484,5948.0,24.1
187.433,5844.0,24.1
189.381,5829.0,24.2
191.329,5930.0,24.2
193.278,5885.0,24.9
195.227,5918.0,24.5
197.175,5999.0,24.4
199.123,6047.0,25.0
201.072,6087.0,25.0
203.020,6139.0,25.1
204.969,6071.0,24.8
206.918,6057.0,24.8
208.867,5976.0,24.6
210.815,5920.0,24.4
212.764,5985.0,24.6
214.713,5969.0,24.3
216.661,5887.0,24.2
218.610,5997.0,24.1
220.558,5879.0,24.3
222.506,5898.0,24.4
224.456,5946.0,24.2
226.404,5866.0,24.2
228.353,5820.0,24.6
230.301,5860.0,24.1
232.250,5836.0,24.1
234.198,5841.0,24.2
236.147,5831.0,24.1
238.095,5843.0,23.9
240.044,5875.0,24.3
241.992,5791.0,23.9
243.941,5827.0,24.0
245.889,5947.0,24.0
247.838,5836.0,24.1
249.786,5839.0,23.8
251.735,5924.0,24.1
253.683,5799.0,23.9
255.632,5827.0,24.2
257.581,5865.0,23.8
259.529,5849.0,24.0
261.477,5809.0,24.3
263.426,5793.0,24.0
265.374,5796.0,23.7
267.323,5870.0,24.3
269.271,5807.0,23.9
271.219,5799.0,24.0
273.167,5926.0,24.1
275.116,5816.0,24.0
277.064,5801.0,24.1
279.013,5936.0,24.1
280.961,5829.0,24.0
282.909,5867.0,23.8
284.858,5907.0,23.9
286.806,5828.0,24.1
288.754,5742.0,24.1
290.702,5816.0,23.9
292.651,5812.0,23.9
294.599,5806.0,24.4
296.548,5829.0,23.7
298.496,5820.0,24.0
300.445,5804.0,24.1
302.392,5785.0,24.1
304.341,5825.0,23.7
306.289,5844.0,23.9
308.237,5850.0,24.0
310.186,5811.0,24.0
312.135,5967.0,23.9
314.083,5780.0,23.9
316.031,5805.0,24.0
317.980,5908.0,24.1
319.928,5800.0,23.9
321.876,5816.0,24.2
323.825,5775.0,23.9
325.773,5792.0,23.9
327.721,5780.0,24.2
329.669,5809.0,23.8
331.616,5763.0,23.8
333.564,5868.0,24.2
335.513,5813.0,23.7
337.461,5835.0,24.1
339.409,5845.0,24.0
341.358,5804.0,24.0
343.306,5790.0,23.9
345.255,5901.0,23.9
347.203,5794.0,24.0
349.151,5811.0,24.2
351.100,5844.0,23.8
353.048,5769.0,24.1
354.997,5796.0,24.2
356.945,5750.0,23.9
358.893,5789.0,23.8
360.842,5757.0,24.3
362.790,5814.0,24.0
364.738,5808.0,23.9
366.687,5857.0,23.9
368.635,5839.0,24.0
370.584,5828.0,23.9
372.533,5883.0,23.9
374.480,5766.0,23.5
376.428,5764.0,23.9
378.378,5894.0,24.0
380.326,5774.0,23.7
382.274,5723.0,24.0
384.223,5863.0,23.9
386.171,5798.0,23.9
388.120,5789.0,24.3
390.068,5817.0,23.8
392.017,5793.0,23.9
393.965,5845.0,24.2
395.914,5837.0,24.1
397.863,5772.0,23.8
399.810,5846.0,24.0
401.758,5766.0,23.8
403.707,5848.0,23.8
405.655,5896.0,23.7
407.604,5785.0,23.9
409.552,5815.0,24.0
411.500,5861.0,24.0
413.449,5811.0,23.8
415.397,5766.0,24.1
417.346,5740.0,23.8
419.295,5826.0,23.9
421.244,5788.0,24.1
423.192,5797.0,24.0
425.140,5751.0,24.0
427.089,5834.0,24.2
429.038,5792.0,23.8
430.986,5819.0,23.9
432.935,5897.0,24.1
434.883,5771.0,23.9
436.831,5748.0,23.7
438.779,5861.0,23.8
440.728,5728.0,23.8
442.676,5761.0,24.1
444.625,5834.0,24.0
446.574,5802.0,23.9
448.523,5744.0,24.3
450.472,5821.0,24.1
452.420,5788.0,23.8
454.370,5814.0,24.3
456.319,5883.0,23.9
458.267,5815.0,24.0
460.216,5850.0,23.9
462.164,5763.0,24.0
464.113,5818.0,24.0
466.062,5929.0,24.0
468.011,5814.0,23.8
469.959,5829.0,24.0
471.908,5943.0,23.8
473.858,5776.0,24.1
475.806,5773.0,24.1
477.756,5785.0,24.0
479.704,5803.0,23.8
481.653,5768.0,24.3
483.602,5773.0,24.0
485.551,5778.0,24.2
487.500,5763.0,24.1
489.449,5811.0,23.8
491.398,5802.0,23.9
493.346,5889.0,24.0
495.295,5772.0,23.9
497.243,5738.0,23.9
499.192,5856.0,23.8
501.140,5772.0,23.8
503.088,5738.0,23.7
505.037,5854.0,23.7
506.986,5772.0,23.7
508.934,5762.0,24.1
510.883,5752.0,23.9
512.832,5764.0,23.9
514.781,5784.0,24.1
516.730,5816.0,23.8
518.678,5746.0,23.7
520.627,5777.0,24.2
522.576,5772.0,23.7
524.525,5757.0,23.9
526.473,5850.0,23.8
528.422,5768.0,23.8
530.371,5829.0,23.9
532.320,5903.0,23.8
534.269,5796.0,23.8
536.217,5845.0,23.9
538.167,5846.0,23.6
540.115,5797.0,23.8
542.064,5698.0,24.0
544.013,5752.0,23.8
545.962,5733.0,23.6
547.911,5742.0,24.1
549.859,5759.0,23.7
551.808,5731.0,23.7
553.757,5721.0,23.7
555.706,5767.0,23.7
557.655,5727.0,23.7
559.604,5798.0,23.7
561.552,5720.0,23.6
563.501,5765.0,23.9
565.449,5878.0,23.6
567.397,5767.0,23.8
569.346,5766.0,23.9
571.295,5812.0,23.8
573.244,5741.0,23.8
575.193,5766.0,24.1
577.142,5748.0,23.7
579.090,5741.0,23.8
581.039,5779.0,24.0
582.988,5762.0,23.7
584.937,5750.0,23.7
586.886,5822.0,23.8
588.834,5756.0,23.8
590.783,5717.0,23.8
592.732,5836.0,23.6
594.680,5698.0,23.8
596.627,5703.0,23.8
598.575,5769.0,23.6
600.523,5721.0,23.5
602.471,5783.0,24.0
604.420,5749.0,23.8
606.369,5757.0,23.6
608.318,5719.0,24.0
610.267,5741.0,23.7
612.215,5746.0,23.6
614.164,5748.0,24.1
616.113,5710.0,23.7
618.061,5798.0,23.8
620.010,5865.0,23.7
621.958,5696.0,23.7
623.907,5755.0,23.6
625.855,5874.0,23.8
627.804,5753.0,23.8
629.753,5745.0,23.9
631.702,5845.0,23.6
633.651,5759.0,23.7
635.600,5779.0,24.1
637.548,5775.0,23.7
639.497,5757.0,23.7
641.446,5734.0,24.1
643.395,5741.0,23.7
645.344,5716.0,23.8
647.293,5735.0,23.8
649.241,5725.0,23.8
651.191,5722.0,23.7
653.139,5815.0,23.8
655.088,5875.0,24.2
657.037,5852.0,24.2
658.987,5941.0,24.1
660.936,5836.0,24.2
662.884,5871.0,24.1
664.834,5920.0,24.2
666.782,5823.0,24.1
668.730,5765.0,24.2
670.679,5773.0,24.0
672.628,5757.0,24.0
674.577,5698.0,24.2
676.526,5811.0,23.8
678.475,5734.0,23.9
680.424,5795.0,24.0
682.373,5717.0,23.8
684.322,5713.0,23.6
686.271,5840.0,23.7
688.219,5741.0,23.7
690.166,5654.0,23.7
692.115,5792.0,23.7
694.063,5686.0,23.6
696.011,5758.0,24.1
697.961,5784.0,23.7
699.910,5728.0,23.7
701.859,5747.0,24.0
703.807,5743.0,23.6
705.756,5721.0,23.7
707.705,5732.0,23.9
709.654,5713.0,23.5
711.602,5719.0,23.6
713.551,5762.0,23.7
715.500,5707.0,23.8
717.449,5706.0,23.7
719.398,5808.0,23.7
721.347,5671.0,23.7
723.295,5736.0,23.7
725.244,5813.0,23.5
727.193,5657.0,23.8
729.142,5713.0,23.9
731.090,5771.0,23.6
733.039,5737.0,23.6
734.988,5758.0,24.1
736.937,5793.0,23.7
738.886,5762.0,23.6
740.834,5770.0,23.8
742.783,5728.0,23.7
744.732,5675.0,23.6
746.681,5836.0,23.6
748.630,5758.0,23.6
750.578,5710.0,23.7
752.527,5781.0,23.6
754.475,5707.0,23.6
756.423,5701.0,23.8
758.373,5771.0,23.7
760.321,5677.0,23.6
762.270,5664.0,24.0
764.218,5670.0,23.6
766.167,5771.0,23.6
768.115,5769.0,24.0
770.064,5706.0,23.6
772.012,5740.0,23.5
773.962,5819.0,23.7
775.911,5731.0,23.6
777.860,5761.0,23.7
779.808,5807.0,23.6
781.757,5769.0,23.7
783.705,5739.0,23.6
785.654,5834.0,23.7
787.603,5745.0,23.6
789.552,5718.0,23.9
791.501,5776.0,23.6
793.450,5789.0,23.6
795.398,5752.0,23.9
797.347,5763.0,23.7
799.296,5774.0,23.6
801.245,5779.0,24.0
803.193,5782.0,23.6
805.142,5759.0,23.6
807.091,5859.0,23.8
809.040,5749.0,23.5
810.988,5717.0,23.6
812.937,5874.0,23.8
814.886,5766.0,23.6
816.834,5741.0,23.7
818.784,5823.0,23.5
820.732,5711.0,23.6
822.681,5755.0,24.0
824.630,5717.0,23.6
826.579,5743.0,23.5
828.528,5790.0,24.0
830.476,5744.0,23.7
832.425,5805.0,23.7
834.374,5792.0,23.7
836.323,5743.0,23.8
838.272,5740.0,23.8
840.220,5820.0,23.8
842.169,5725.0,23.7
844.118,5755.0,23.7
846.067,5868.0,23.8
848.016,5791.0,23.7
849.964,5759.0,23.7
851.913,5831.0,23.8
853.862,5739.0,23.6
855.810,5755.0,24.1
857.759,5705.0,23.7
859.708,5750.0,23.6
861.657,5702.0,24.0
863.606,5741.0,23.7
865.555,5722.0,23.5
867.503,5742.0,23.9
869.452,5719.0,23.7
871.400,5716.0,23.7
873.350,5814.0,23.5
875.298,5694.0,23.6
877.247,5658.0,23.7
879.196,5861.0,23.9
881.145,5717.0,23.6
883.093,5735.0,23.9
885.043,5734.0,23.6
886.992,5720.0,23.7
888.940,5760.0,24.2
890.890,5771.0,23.8
892.837,5793.0,23.8
894.787,5824.0,24.0
896.736,5746.0,23.6
898.684,5816.0,23.8
900.634,5836.0,23.9
902.582,5747.0,23.8
904.531,5785.0,23.6
906.480,5856.0,23.8
908.429,5730.0,23.9
910.377,5741.0,23.8
912.327,5888.0,23.7
914.276,5793.0,23.7
916.224,5723.0,23.9
918.173,5766.0,23.6
920.122,5741.0,23.4
922.070,5725.0,24.0
924.020,5726.0,23.6
925.968,5750.0,23.7
927.917,5806.0,23.8
929.866,5723.0,23.6
931.814,5733.0,23.6
933.764,5817.0,23.8
935.712,5706.0,23.5
937.661,5786.0,23.8
939.610,5884.0,23.6
941.558,5684.0,23.6
943.506,5680.0,23.6
945.456,5788.0,23.4
947.404,5698.0,23.6
949.353,5748.0,24.1
951.302,5692.0,23.4
953.251,5710.0,23.7
955.199,5729.0,24.0
957.148,5729.0,23.7
959.097,5717.0,23.5
961.046,5800.0,23.8
962.995,5756.0,23.5
964.943,5757.0,23.6
966.892,5838.0,23.5
968.841,5733.0,23.7
970.789,5709.0,23.6
972.738,5821.0,23.5
974.686,5762.0,23.5
976.635,5636.0,23.7
978.583,5726.0,23.6
980.532,5774.0,23.6
982.482,5739.0,23.9
984.430,5802.0,23.7
986.379,5749.0,23.6
988.327,5797.0,23.9
990.277,5762.0,23.6
992.225,5735.0,23.8
994.174,5799.0,23.9
996.123,5753.0,23.7
998.072,5727.0,23.6
1000.020,5872.0,23.7
1001.969,5728.0,23.6
1003.918,5749.0,23.8
1005.867,5848.0,23.5
1007.815,5729.0,23.7
1009.764,5744.0,23.9
1011.713,5677.0,23.5
1013.662,5749.0,23.3
1015.611,5720.0,24.0
1017.560,5672.0,23.5
1019.509,5728.0,23.7
1021.457,5777.0,23.5
1023.406,5698.0,23.6
1025.355,5779.0,23.4
1027.304,5765.0,23.7
1029.252,5643.0,23.6
1031.200,5710.0,23.6
1033.149,5805.0,23.6
1035.098,5696.0,23.6
1037.046,5685.0,23.6
1038.996,5785.0,23.6
1040.944,5762.0,23.6
1042.893,5697.0,24.0
1044.841,5740.0,23.6
1046.790,5670.0,23.6
1048.739,5742.0,23.9
1050.688,5761.0,23.7
1052.636,5736.0,23.6
1054.585,5785.0,24.0
1056.534,5733.0,23.6
1058.483,5789.0,23.6
1060.432,5867.0,23.6
1062.380,5763.0,23.7
